stock_ticker,company_name,exchange,country,index_id,sector_id,industry_id,market_cap,market_cap_type,style,business_model,stock_category,description
MSFT,Microsoft Corp,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SOFT,3200000000000,Mega Cap,Growth,"Platform,SaaS","Blue Chip,Mega Cap,Growth","Sistemas operativos, cloud y software empresarial"
ORCL,Oracle Corp,NYSE,USA,IDX_SP500,SEC_IT,IND_SOFT,380000000000,Large Cap,Blend,"Enterprise Software,Subscription","Blue Chip,Large Cap,Blend",Bases de datos y software empresarial
ADBE,Adobe Inc,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SOFT,260000000000,Large Cap,Growth,SaaS,"Blue Chip,Growth",Software creativo y marketing digital
CRM,Salesforce Inc,NYSE,USA,IDX_SP500,SEC_IT,IND_SOFT,280000000000,Large Cap,Growth,SaaS,"Growth,SaaS",Plataforma líder de CRM
INTU,Intuit Inc,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SOFT,200000000000,Large Cap,Growth,SaaS,"Growth,SaaS",Software financiero y contable
AAPL,Apple Inc,NASDAQ,USA,IDX_SP500,SEC_IT,IND_TECH_HW,3000000000000,Mega Cap,Blend,"Platform,Hardware,Services","Blue Chip,Mega Cap,Platform,Defensive Growth","Dispositivos electrónicos, ecosistema y servicios"
NVDA,NVIDIA Corp,NASDAQ,USA,IDX_SP500,SEC_IT,IND_TECH_HW,2200000000000,Mega Cap,Growth,"Hardware,Platform","Blue Chip,Mega Cap,Growth,High Momentum",Chips y hardware para IA y computación acelerada
DELL,Dell Technologies,NYSE,USA,IDX_SP500,SEC_IT,IND_TECH_HW,90000000000,Large Cap,Blend,"Hardware,Enterprise Solutions","Large Cap,Enterprise Hardware","Servidores, PCs y soluciones empresariales"
HPQ,HP Inc,NYSE,USA,IDX_SP500,SEC_IT,IND_TECH_HW,35000000000,Large Cap,Value,"Hardware,Printing","Value,Dividend,Hardware","PCs, impresoras y hardware corporativo"
STX,Seagate Technology,NASDAQ,USA,IDX_SP500,SEC_IT,IND_TECH_HW,18000000000,Large Cap,Value,Data Storage,"Value,Cyclical,Storage",Almacenamiento de datos y discos duros
NVDA,NVIDIA Corp,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SEMI,2200000000000,Mega Cap,Growth,"Hardware,Platform","Blue Chip,Mega Cap,Growth,High Momentum",Semiconductores y plataformas de computación acelerada para IA
TSM,Taiwan Semiconductor Manufacturing Co,NYSE,USA,IDX_SP500,SEC_IT,IND_SEMI,700000000000,Mega Cap,Blend,"Foundry,Manufacturing","Blue Chip,Mega Cap,Defensive Growth",Fabricación de chips avanzados para terceros
AVGO,Broadcom Inc,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SEMI,650000000000,Mega Cap,Blend,"Semiconductors,Infrastructure Software","Blue Chip,Mega Cap,Cash Flow",Chips y software de infraestructura
AMD,Advanced Micro Devices,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SEMI,300000000000,Large Cap,Growth,"Hardware,Processors","Growth,High Beta",Diseño de CPUs y GPUs de alto rendimiento
INTC,Intel Corp,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SEMI,190000000000,Large Cap,Blend,"Manufacturing,Processors","Turnaround,Legacy Tech",Fabricante histórico de semiconductores
